order_bracket (NPR),Valid_Orders,% Orders Share,Valid_Items,Basket_Size,% GMV Share,AOV,AIV,% Prepaid Orders,% Prepaid GMV,Avg Shipping Fee,Selling_Sellers,Buyers,% New Buyers,Selling Products,Free Shipping Orders,Organic Orders,% Seller Cancellation
17. 2001 to 2500,37060.0,0.0486,78953.68421052632,2.1304286079472834,0.0659,24.663653534808418,11.576850518625175,0.07807142857142857,0.08650000000000001,Rs. 132,3538.3333333333335,42123.333333333336,0.2874,67332.2,0.09507692307692307,0.8319,0.0155
18. 2501 to 3000,26701.666666666664,0.035,65451.052631578954,2.45119727725781,0.0585,30.378467547058776,12.39331808537402,0.09942857142857142,0.10842857142857143,Rs. 145,3398.3333333333335,31203.333333333336,0.2562,58787.3,0.11730769230769231,0.4626,0.018
19. 3001 to 3500,16762.222222222223,0.022,44340.52631578947,2.645265390707313,0.0432,35.75855570917218,13.517946378760413,0.09835714285714285,0.10414285714285716,Rs. 164,3118.3333333333335,20432.5,0.23864999999999997,46510.1,0.16246153846153846,0.3786,0.02
20. 3501 to 4000,11385.555555555555,0.0149,32417.894736842107,2.8472826449846687,0.0338,41.180624294218525,14.463131844938514,0.10428571428571429,0.11007142857142857,Rs. 178,2766.666666666667,14431.666666666668,0.23909999999999998,35865.700000000004,0.16407692307692306,0.3972,0.0189
21. 4001 to 4500,7993.333333333333,0.0105,29673.157894736843,3.7122382687327162,0.0275,47.64497200047659,12.834567328767298,0.16921428571428573,0.18421428571428575,Rs. 198,2553.3333333333335,9990.833333333334,0.2364,29816.8,0.19484615384615386,0.3609,0.019
22. 4501 to 5000,6748.888888888889,0.0088,27590.0,4.088080342443201,0.0258,53.04619220095019,12.975819396261587,0.18971428571428572,0.20042857142857146,Rs. 209,2399.166666666667,8200.833333333334,0.21795000000000003,27012.7,0.2289230769230769,0.3438,0.0135
23. 5001 to 5500,4706.111111111111,0.0062,16972.63157894737,3.6065088941217405,0.0196,57.87262424743241,16.046716075415528,0.15421428571428572,0.16121428571428573,Rs. 212,2184.166666666667,6016.666666666667,0.21405,20658.3,0.18376923076923077,0.3773,0.0205
24. 5501 to 6000,4286.666666666667,0.0056,14266.842105263158,3.3281902267332404,0.0194,62.87902688291491,18.892858460387142,0.12542857142857144,0.1302857142857143,Rs. 192,1961.6666666666667,5146.666666666667,0.22469999999999998,16611.4,0.157,0.385,0.0159
25. 6001 to 6500,3097.222222222222,0.0041,11006.315789473685,3.553608685390607,0.0152,68.23648942985267,19.20202686085911,0.12835714285714286,0.1320714285714286,Rs. 203,1783.3333333333335,3890.8333333333335,0.21660000000000001,13573.300000000001,0.1392307692307692,0.397,0.0151
26. 6501 to 7000,2422.777777777778,0.0032,9107.368421052632,3.7590605727802653,0.0129,73.9788384053461,19.68014001717192,0.14771428571428574,0.15371428571428572,Rs. 220,1671.6666666666667,3172.5,0.20925000000000002,11624.6,0.15469230769230768,0.4056,0.0157
27. 7001 to 7500,1628.888888888889,0.0021,6974.21052631579,4.281575357219789,0.0093,79.28103683492498,18.516791185570902,0.1412857142857143,0.1455,Rs. 263,1448.3333333333335,2214.166666666667,0.22244999999999998,9327.5,0.16715384615384615,0.4328,0.0198
28. 7501 to 8000,1605.5555555555554,0.0021,6444.736842105263,4.014022946639956,0.0098,84.26856154226398,20.993542553812052,0.1302857142857143,0.1347142857142857,Rs. 260,1425.8333333333335,2178.3333333333335,0.23235,8677.5,0.15092307692307694,0.4491,0.0176
29. 8001 to 9000,2535.5555555555557,0.0033,11231.052631578948,4.429424788966281,0.0171,93.33091273319144,21.070662033968652,0.16885714285714287,0.1795714285714286,Rs. 266,1776.6666666666667,3376.666666666667,0.2454,13473.2,0.17884615384615385,0.4163,0.0197
30. 9001 to 10000,1858.888888888889,0.0024,9187.894736842105,4.942680970207946,0.014,104.53518059943644,21.14948976669204,0.1852857142857143,0.1915714285714286,Rs. 290,1662.5,2503.3333333333335,0.2487,11698.7,0.20369230769230767,0.393,0.02
31. 10001 to 12000,2402.222222222222,0.0031,10882.105263157895,4.530016066994499,0.0206,119.03680454605525,26.277347096702872,0.14885714285714285,0.15157142857142858,Rs. 299,1803.3333333333335,3154.166666666667,0.2382,13907.4,0.16192307692307692,0.4204,0.022
32. 12001 to 15000,2416.6666666666665,0.0032,9753.684210526317,4.036007259528131,0.0253,145.19113300492614,35.97395239123061,0.15042857142857144,0.15421428571428572,Rs. 310,1750.8333333333335,3166.666666666667,0.26685000000000003,12951.9,0.1453846153846154,0.4363,0.0239
33. 15001 to 20000,2002.7777777777778,0.0026,7928.947368421053,3.958975107672093,0.027,187.02845254606697,47.24163387226779,0.18364285714285716,0.18607142857142858,Rs. 333,1652.5,2716.666666666667,0.2673,11512.800000000001,0.1713076923076923,0.4172,0.0216
34. 20001 to 25000,1223.3333333333333,0.0016,4262.631578947368,3.4844399827907644,0.0215,243.65803814713897,69.92746018026916,0.19557142857142856,0.19914285714285715,Rs. 346,1131.6666666666667,1722.5,0.25755,6178.900000000001,0.1366153846153846,0.3815,0.0328
35. 25001 to 30000,643.8888888888889,0.0008,2265.7894736842104,3.5189137641342354,0.0137,295.57451004560585,83.99595155135226,0.19721428571428573,0.19935714285714287,Rs. 382,840.0,897.5,0.2409,3403.4,0.13538461538461538,0.3779,0.0256
36. 30001 to 40000,775.0,0.001,2268.947368421053,2.9276740237691006,0.0211,378.17235023041474,129.17160420187557,0.17971428571428572,0.18200000000000002,Rs. 383,800.8333333333334,1096.6666666666667,0.3237,3406.0,0.13176923076923078,0.3599,0.0387
37. 40001 to 50000,440.55555555555554,0.0006,935.7894736842105,2.124112298400478,0.0155,488.7611241217799,230.10135786598104,0.20357142857142857,0.20557142857142857,Rs. 320,431.6666666666667,622.5,0.27915,1393.6000000000001,0.1086153846153846,0.2636,0.0399
38. 50001 to 75000,721.1111111111111,0.0009,1404.7368421052631,1.9480171924418133,0.0351,675.2099933964341,346.61398062409677,0.15907142857142859,0.15857142857142859,Rs. 337,494.1666666666667,1005.0,0.306,1821.3,0.12976923076923075,0.245,0.0326
39. 75001 to 100000,432.22222222222223,0.0006,676.3157894736843,1.5647409010959277,0.0291,934.8497980168931,597.4470261256254,0.1285,0.12885714285714286,Rs. 258,235.83333333333334,604.1666666666667,0.35385,790.4,0.13153846153846155,0.1748,0.0327
